pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_ADIPOGENESIS	5.325002662501331e-4	0.0029583348125007394	-0.3931102189732955	-1.528798791663604	314	203
HALLMARK_ALLOGRAFT_REJECTION	0.27611485726576135	0.3944497960939448	-0.262706828306511	-1.0595885481651375	168172	292
HALLMARK_ANDROGEN_RESPONSE	0.16321311324869717	0.2720218554144953	0.3157928392219582	1.153878194892176	71093	98
HALLMARK_ANGIOGENESIS	0.07520591278420785	0.13927020885964417	-0.45271929359998175	-1.3467802170958907	40558	36
HALLMARK_APICAL_JUNCTION	0.04106682067493902	0.10266705168734755	-0.3171847808563294	-1.2469545845934098	24460	225
HALLMARK_APICAL_SURFACE	0.6505949874308791	0.7565057993382315	-0.289866556250934	-0.8940414028989396	353788	43
HALLMARK_APOPTOSIS	0.007969616796108218	0.028462917128957925	-0.3618258499123674	-1.3883536794645193	4668	180
HALLMARK_BILE_ACID_METABOLISM	0.5681789857045924	0.676403554410229	0.2578462231791577	0.9518616533391164	246183	105
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.44717170464410944	0.5732970572360377	0.2846918606232851	0.9971737718450586	198304	75
HALLMARK_COAGULATION	0.9052288509876877	0.9052288509876877	0.21783747619508714	0.8408773089154064	382460	145
HALLMARK_COMPLEMENT	0.7548925857893596	0.8387695397659551	-0.23058322856644478	-0.9048032896927861	449185	221
HALLMARK_DNA_REPAIR	1.462483848156324e-4	9.140524050977025e-4	-0.4328546038266778	-1.638069286100788	84	160
HALLMARK_E2F_TARGETS	1.6842218726526158e-6	2.8226436993794138e-5	-0.5832859892651794	-2.282300688798406	0	215
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.001813181423009137	0.009065907115045685	-0.3760012045018558	-1.4613905626372132	1071	202
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.29707086178976866	0.41259841915245643	-0.2705592458687063	-1.0571700625134284	176296	212
HALLMARK_ESTROGEN_RESPONSE_LATE	0.06291045141014033	0.12559888391952928	-0.31167847106197394	-1.217184448093974	37311	211
HALLMARK_FATTY_ACID_METABOLISM	0.01894476195068025	0.04985463671231645	-0.3559607388675114	-1.3439928631145295	11001	157
HALLMARK_G2M_CHECKPOINT	1.693586219627648e-6	2.8226436993794138e-5	-0.5625283961575887	-2.182747567829176	0	199
HALLMARK_GLYCOLYSIS	6.7606624097029025e-6	4.829044578359216e-5	-0.4407857251194812	-1.7150621010998925	3	204
HALLMARK_HEDGEHOG_SIGNALING	0.46121867733717037	0.576523346671463	-0.33350499233943004	-0.9921333867037097	248737	36
HALLMARK_HEME_METABOLISM	0.22904935071983934	0.34704447078763534	-0.2819530787261491	-1.0916726847544251	135041	195
HALLMARK_HYPOXIA	0.004406429511450819	0.018360122964378413	-0.359326692674093	-1.404015674782568	2614	212
HALLMARK_IL2_STAT5_SIGNALING	0.0628418520155153	0.12559888391952928	0.29760123788898374	1.2006459518771395	25597	210
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4118798880693805	0.5419472211439217	0.2775144193612719	1.0123650867424958	179425	97
HALLMARK_INFLAMMATORY_RESPONSE	0.7185985201388045	0.8165892274304598	-0.23448779496050168	-0.9138657303419417	425760	207
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.8433670492122155	0.8837428183167013	-0.229854165847552	-0.8539759345048034	485603	138
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.10829841319130733	0.18672140205397814	-0.28772729306420985	-1.1535094058118238	65566	274
HALLMARK_KRAS_SIGNALING_DN	0.24383094503899874	0.3585749191749982	0.27089165933791914	1.076004444997249	100817	183
HALLMARK_KRAS_SIGNALING_UP	0.8896878202330929	0.9052288509876877	0.2156931123947861	0.8683104051041982	362908	206
HALLMARK_MITOTIC_SPINDLE	3.3701522466277413e-6	4.212690308284677e-5	-0.43740722910816776	-1.7098789889861312	1	213
HALLMARK_MTORC1_SIGNALING	0.018171039831378695	0.04985463671231645	-0.3376714351758215	-1.3152400232101453	10758	206
HALLMARK_MYC_TARGETS_V1	1.67770034258641e-6	2.8226436993794138e-5	-0.5477574285617551	-2.1544645032489784	0	226
HALLMARK_MYC_TARGETS_V2	0.005039639963473503	0.019383230628744242	-0.4836553554213184	-1.5862218202581189	2775	60
HALLMARK_MYOGENESIS	0.5488763759094994	0.6693614340359749	-0.24927667054722202	-0.9656294852052438	323622	196
HALLMARK_NOTCH_SIGNALING	0.04765276361345138	0.11345896098440805	0.4700072554873831	1.4155768319838893	22007	34
HALLMARK_OXIDATIVE_PHOSPHORYLATION	6.72513046753107e-6	4.829044578359216e-5	-0.4274122413177856	-1.6763175200364369	3	220
HALLMARK_P53_PATHWAY	0.05390445155816367	0.1225101171776447	-0.3169165660653756	-1.233097082538492	31892	204
HALLMARK_PANCREAS_BETA_CELLS	0.7986029032660347	0.8680466339848203	-0.2758885060493758	-0.8057179290607278	429054	33
HALLMARK_PEROXISOME	0.8483931055840332	0.8837428183167013	0.22952654658039245	0.8496931131433155	367097	107
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.010982876123128996	0.036609587077096654	-0.39346467712254346	-1.4268204482192963	6255	115
HALLMARK_PROTEIN_SECRETION	0.018828034075022898	0.04985463671231645	0.3815943959039448	1.3920460226855464	8201	97
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0029687823631798314	0.013494465287181052	-0.5013709012801771	-1.6350531002537587	1633	58
HALLMARK_SPERMATOGENESIS	0.05913525758973668	0.12559888391952928	-0.34816608370261865	-1.2699436887009652	33777	120
HALLMARK_TGF_BETA_SIGNALING	0.18508567463212397	0.29852528166471604	0.3475273124905102	1.1640655443986767	83215	58
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.08350082375086822	0.1491086138408361	-0.3020330293149317	-1.1879700877382355	49770	226
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.19513602522060997	0.30490003940720306	-0.3136222745886039	-1.1330808707410802	110919	112
HALLMARK_UV_RESPONSE_DN	0.30824647929169885	0.41654929634013355	0.2709925036769227	1.0514529149702514	129686	151
HALLMARK_UV_RESPONSE_UP	0.013595261430945584	0.04248519197170495	-0.35086628712430423	-1.3495995007747477	7975	184
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.06531141963815522	0.12559888391952928	0.41077038260113263	1.3327297461747287	29640	49
HALLMARK_XENOBIOTIC_METABOLISM	6.755661244122575e-6	4.829044578359216e-5	-0.44400243098729103	-1.7294023325752133	3	206
